+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  6 |       NEW |     READY |
|                 0 |  9 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|               100 |  1 |   RUNNING |     READY |
|               100 |  6 |     READY |   RUNNING |
|               200 |  6 |   RUNNING |     READY |
|               200 |  9 |     READY |   RUNNING |
|               300 |  9 |   RUNNING |     READY |
|               300 |  1 |     READY |   RUNNING |
|               400 |  1 |   RUNNING |     READY |
|               400 |  6 |     READY |   RUNNING |
|               480 |  6 |   RUNNING |TERMINATED |
|               480 |  9 |     READY |   RUNNING |
|               500 |  9 |   RUNNING |TERMINATED |
|               500 |  1 |     READY |   RUNNING |
|               600 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
